City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,Mahanje,-9.9333,35.3333,63.77,96,88,1.23,TZ,2022-04-21 19:17:40
285,Grindavik,63.8424,-22.4338,49.95,87,75,17.27,IS,2022-04-21 19:17:40
286,Klaksvik,62.2266,-6.589,45.52,94,15,13.6,FO,2022-04-21 19:17:41
287,Chuy,-33.6971,-53.4616,74.79,52,99,3.31,UY,2022-04-21 19:17:41
288,Krasnoselkup,65.7,82.4667,-5.57,99,61,3.15,RU,2022-04-21 19:17:41
289,Ulaangom,49.9811,92.0667,39.97,45,100,2.53,MN,2022-04-21 19:17:42
290,Mangrol,21.1167,70.1167,81.75,72,2,12.21,IN,2022-04-21 19:17:42
291,Jundia,-8.9347,-35.5736,80.92,77,56,6.6,BR,2022-04-21 19:17:42
292,San Patricio,28.017,-97.5169,87.89,57,53,19.98,US,2022-04-21 19:17:43
293,Salalah,17.0151,54.0924,82.49,78,75,6.91,OM,2022-04-21 19:15:47
294,Kaitangata,-46.2817,169.8464,47.25,92,100,12.88,NZ,2022-04-21 19:17:43
