City_ID,City,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
117,Namibe,-15.1961,12.1522,81.23,81.23,61,20,12.66,AO,few clouds
118,Kloulklubed,7.0419,134.2556,75.7,75.7,83,100,10.27,PW,overcast clouds
119,Khatanga,71.9667,102.5,9.72,9.72,94,39,5.57,RU,scattered clouds
120,Ughelli,5.4899,6.0074,79.59,79.59,85,100,6.76,NG,moderate rain
121,Lompoc,34.6391,-120.4579,44.64,50.14,84,100,17,US,overcast clouds
122,Oltu,40.5498,42.0013,70.48,70.48,35,70,4.7,TR,light rain
123,Fuyang,32.9,115.8167,61.27,61.27,56,85,14.07,CN,overcast clouds
124,Lazaro Cardenas,17.9583,-102.2,79.61,79.61,41,5,2.73,MX,clear sky
125,Puerto Ayora,-0.7393,-90.3518,73.83,73.83,85,19,6.67,EC,few clouds
126,Chokurdakh,70.6333,147.9167,13.1,13.1,95,100,8.75,RU,light snow
127,Monitos,8.25,-76.05,81.41,81.41,77,89,2.26,CO,overcast clouds
128,Matara,5.9485,80.5353,81.66,81.66,80,3,3.42,LK,clear sky
129,Dunedin,-45.8742,170.5036,53.8,53.8,70,8,3,NZ,clear sky
130,Sterlitamak,53.6246,55.9502,68.43,68.43,51,100,14.23,RU,overcast clouds
131,Avarua,-21.2078,-159.775,75.25,75.25,100,87,1.14,CK,overcast clouds
132,Victoria,22.2855,114.1577,81.25,84.38,80,1,10,HK,clear sky
133,Port Elizabeth,-33.918,25.5701,66.49,77.09,71,0,11.5,ZA,clear sky
134,Tautira,-17.7333,-149.15,80.17,80.17,77,28,20.18,PF,light rain
135,Praia,14.9215,-23.5087,77.54,77.54,57,20,25.32,CV,few clouds
136,Paamiut,61.994,-49.6678,34.59,34.59,97,100,29.95,GL,light snow
137,Bengkulu,-3.8004,102.2655,79.14,79.14,88,100,3.96,ID,heavy intensity rain
138,Segezha,63.7415,34.3222,30.45,30.45,47,100,7.34,RU,overcast clouds
139,Port Hardy,50.6996,-127.4199,35.78,42.8,93,75,3.44,CA,broken clouds
140,Zadar,44.1197,15.2422,68.61,68.61,60,20,16.11,HR,few clouds
141,Elmina,5.0898,-1.348,85.62,85.62,69,91,12.17,GH,overcast clouds
142,Fuxin,42.0156,121.6589,53.2,53.2,13,96,2.62,CN,overcast clouds
143,Valreas,44.3837,4.9908,70.88,75.61,35,17,4.5,FR,few clouds
144,Atar,20.5169,-13.0499,89.55,89.55,13,0,11.92,MR,clear sky
145,Lamu,-2.2717,40.902,88.02,88.02,71,89,11.18,KE,light rain
146,Luderitz,-26.6481,15.1594,72.73,72.73,46,0,4.99,NA,clear sky
147,Vostok,46.4856,135.8833,28.63,28.63,79,85,12.75,RU,overcast clouds
148,Bunia,1.5667,30.25,75.4,75.4,71,100,1.19,CD,light rain
149,Katsuura,35.1333,140.3,67.55,67.55,94,100,3.58,JP,light rain
150,Rio Claro,-22.4114,-47.5614,85.39,85.39,56,0,8.93,BR,clear sky
151,Oktyabrskiy,54.4815,53.471,59,59,89,100,2.35,RU,overcast clouds
152,Rio Grande,-32.035,-52.0986,80.71,80.94,63,47,18.52,BR,scattered clouds
153,Padang,-0.9492,100.3543,80.8,80.8,88,91,1.57,ID,overcast clouds
154,Kuttigen,47.4167,8.05,57.47,65.88,64,5,8.52,CH,clear sky
155,Rapid City,44.0805,-103.231,29.93,57.72,76,0,6.91,US,clear sky
156,Ishigaki,24.3448,124.1572,78.93,78.93,100,0,9.22,JP,clear sky
157,Elliot,-31.3333,27.85,58.62,58.62,41,0,4.16,ZA,clear sky
158,Charlestown,-32.95,151.6667,63.01,67.82,95,100,3.18,AU,light rain
159,Halifax,44.6453,-63.5724,42.48,47.52,91,100,10.36,CA,overcast clouds
160,Nsanje,-16.92,35.262,69.55,69.55,92,100,9.28,MW,overcast clouds
161,Moerai,-22.4333,-151.3333,79.72,79.72,77,38,14.16,PF,scattered clouds
162,Fort Nelson,58.8053,-122.7002,35.19,35.19,87,100,5.75,CA,overcast clouds
163,Cabedelo,-6.9811,-34.8339,86.67,86.67,75,99,12.86,BR,overcast clouds
164,Mnogovershinnyy,53.9353,139.9242,23.22,23.22,92,100,12.06,RU,light snow
165,Komsomolskiy,40.4272,71.7189,70.52,70.52,52,0,9.22,UZ,clear sky
166,Jhabua,22.7667,74.6,97.83,97.83,13,0,7.45,IN,clear sky
167,Sinnamary,5.3833,-52.95,82.65,82.65,76,100,6.29,GF,overcast clouds
168,Fukuma,33.7667,130.4667,59.29,62.6,75,100,9.15,JP,overcast clouds
169,Ixtapa,20.7,-105.2,74.23,74.23,72,0,0.96,MX,clear sky
170,Qianan,44.9932,124.0581,48.56,48.56,19,100,4.14,CN,overcast clouds
171,Barrow,71.2906,-156.7887,6.82,6.82,78,100,11.5,US,light snow
172,Sa Kaeo,13.75,102.3333,90.45,90.45,54,96,4.32,TH,overcast clouds
173,Zhangjiakou,40.81,114.8794,39.43,39.43,95,100,0.74,CN,moderate rain
174,Banda Aceh,5.5577,95.3222,81.88,81.88,81,92,3.96,ID,overcast clouds
175,Sola,-13.8833,167.55,80.42,80.42,79,92,15.57,VU,overcast clouds
